CVE ID,Published Date,Last Modified Date,Source Identifier,Description,Base Severity,Attack Vector
CVE-2023-40520,2023-09-27T15:19:19.293,2023-10-12T02:31:33.977,LOW
CVE-2023-41065,2023-09-27T15:19:25.397,2023-10-12T02:35:43.833,LOW
CVE-2023-41306,2023-09-27T15:19:28.560,2023-09-28T17:10:39.950,LOW
CVE-2023-41310,2023-09-27T15:19:29.063,2023-09-28T16:03:40.263,LOW
CVE-2023-41332,2023-09-27T15:19:30.023,2023-09-29T13:56:15.203,LOW
CVE-2023-41335,2023-09-27T15:19:30.283,2023-10-18T13:38:12.487,LOW
CVE-2023-44124,2023-09-27T15:19:35.903,2023-10-02T18:22:25.643,LOW
CVE-2023-44128,2023-09-27T15:19:37.217,2023-10-02T18:20:59.393,LOW
CVE-2023-44129,2023-09-27T15:19:37.350,2023-10-02T18:59:15.660,LOW
CVE-2023-38872,2023-09-28T04:15:12.067,2023-10-03T00:13:23.070,LOW
CVE-2023-3906,2023-09-29T07:15:13.233,2023-10-02T19:42:18.340,LOW
CVE-2023-5159,2023-09-29T10:15:10.530,2023-10-03T17:18:32.967,LOW
CVE-2023-5193,2023-09-29T10:15:10.687,2023-10-03T17:32:42.060,LOW
CVE-2023-5313,2023-09-30T15:15:10.337,2023-10-03T20:05:07.437,LOW
CVE-2023-28372,2023-10-02T23:15:12.293,2023-10-05T15:50:10.483,LOW
CVE-2023-36627,2023-10-02T23:15:12.470,2023-10-05T15:39:20.327,LOW
CVE-2023-28373,2023-10-03T00:15:09.913,2023-10-05T15:39:04.883,LOW
CVE-2023-30732,2023-10-04T04:15:12.940,2023-10-05T19:07:11.443,LOW
CVE-2023-30735,2023-10-04T04:15:13.380,2023-10-05T15:15:31.130,LOW
